node,R,G,B
1053,14.5,41.875,46.75
1054,0.16666666666666666,6.5,9.0
1097,0.0,20.5,15.5
1098,0.0,18.75,16.75
1099,0.0,19.25,18.5
1136,2.0,4.333333333333333,10.166666666666666
1137,13.857142857142858,55.42857142857143,57.42857142857143
1138,24.11111111111111,76.22222222222223,68.77777777777777
1139,0.3333333333333333,13.333333333333334,18.833333333333332
1140,0.2,7.0,16.4
1141,0.25,6.75,8.75
1142,0.0,11.0,5.0
1143,0.0,9.4,9.6
1144,0.0,9.833333333333334,8.333333333333334
1181,0.0,18.25,20.0
1182,0.0,18.0,21.0
1183,0.0,19.25,20.25
1184,0.0,19.25,22.0
1185,0.0,19.25,18.0
1186,0.0,20.0,15.75
1187,0.0,22.6,25.2
1188,0.0,18.75,20.0
1189,0.0,19.0,20.0
1190,0.0,19.0,19.25
1191,0.0,20.5,17.75
1192,0.0,19.25,20.75
1193,94.0,205.25,210.5
1194,108.0,206.0,221.5
1229,0.0,14.0,20.0
1230,31.25,186.75,95.5
1231,105.5,207.5,234.0
1232,0.0,86.0,107.0
1233,10.0,78.66666666666667,127.66666666666667
1234,16.6,70.2,134.6
1235,5.6,81.0,127.2
1236,101.66666666666667,207.33333333333334,237.0
1237,52.57142857142857,231.42857142857142,240.14285714285714
1238,0.0,32.75,34.75
1239,20.5,38.5,51.0
1240,23.5,34.0,43.5
1274,0.0,19.5,15.0
1275,84.6,181.6,203.2
1276,88.5,215.66666666666666,229.66666666666666
1277,86.25,217.5,226.5
1278,85.5,216.25,229.75
1279,85.5,222.5,230.5
1280,92.5,212.75,225.25
1281,90.75,213.0,229.5
1282,0.0,95.5,133.25
1283,0.0,105.42857142857143,139.57142857142858
1284,99.0,210.66666666666666,228.33333333333334
1285,113.5,206.0,217.0
1317,15.5,42.625,45.25
1319,27.8,42.6,56.2
1320,108.0,208.5,230.5
1321,17.625,94.5,148.5
1322,15.0,100.57142857142857,150.14285714285714
1323,27.0,136.33333333333334,172.0
1324,11.555555555555555,103.44444444444444,139.88888888888889
1325,0.0,102.66666666666667,124.33333333333333
1326,0.0,109.0,105.0
1327,22.0,124.0,158.25
1328,0.0,102.0,128.33333333333334
1329,23.0,136.33333333333334,170.66666666666666
1330,13.083333333333334,111.75,153.5
1331,0.0,95.0,130.0
1332,0.0,87.5,138.5
1333,37.666666666666664,122.66666666666667,173.33333333333334
1334,13.875,71.625,136.75
1335,12.166666666666666,72.83333333333333,142.0
1336,42.0,234.125,254.75
1337,0.0,89.5,134.75
1338,5.777777777777778,79.33333333333333,133.66666666666666
1339,6.833333333333333,76.0,133.33333333333334
1340,0.0,8.5,38.0
1341,0.5,7.666666666666667,11.0
1342,19.285714285714285,32.857142857142854,43.42857142857143
1374,101.66666666666667,208.0,225.66666666666666
1375,0.0,88.0,128.0
1376,72.6,220.4,254.2
1377,69.0,177.75,224.0
1378,82.66666666666667,214.0,253.33333333333334
1379,80.0,212.33333333333334,253.66666666666666
1380,21.25,121.0,168.0
1381,56.5,228.25,255.0
1382,58.0,173.33333333333334,213.66666666666666
1383,95.33333333333333,209.0,255.0
1384,17.444444444444443,125.0,110.66666666666667
1385,76.83333333333333,217.0,254.66666666666666
1386,16.5,93.25,152.875
1387,12.3,77.3,130.2
1418,0.2,6.6,13.6
1419,0.0,9.5,34.5
1420,4.8,78.6,129.6
1421,13.0,73.0,139.0
1422,11.75,70.75,137.25
1423,81.0,212.0,252.5
1424,2.0,78.2,133.2
1425,0.0,90.4,142.2
1426,0.0,89.66666666666667,136.66666666666666
1427,30.25,199.75,223.5
1428,13.5,246.0,255.0
1429,30.4,241.2,254.0
1430,4.142857142857143,78.42857142857143,133.14285714285714
1431,0.8,82.2,133.6
1432,7.8,75.2,139.2
1433,0.0,90.25,134.75
1434,22.833333333333332,98.16666666666667,157.16666666666666
1435,15.142857142857142,73.57142857142857,130.57142857142858
1436,0.0,7.5,39.5
1467,8.454545454545455,102.0909090909091,139.27272727272728
1468,2.8,81.2,137.8
1469,0.2,92.4,120.6
1470,0.0,94.0,115.25
1471,0.0,98.33333333333333,135.66666666666666
1472,2.1666666666666665,83.0,140.33333333333334
1473,5.8,78.0,139.2
1474,11.666666666666666,249.77777777777777,252.22222222222223
1475,7.0,236.0,240.8
1476,16.0,162.83333333333334,69.16666666666667
1477,0.0,94.66666666666667,82.0
1478,5.0,114.0,81.16666666666667
1479,58.666666666666664,173.66666666666666,220.0
1480,19.5,73.5,112.0
1481,25.4,46.8,66.6
1509,0.2857142857142857,6.142857142857143,12.714285714285714
1510,0.0,5.666666666666667,31.333333333333332
1511,72.2,221.4,246.6
1512,10.0,75.4,137.6
1513,13.2,92.2,119.1
1514,8.272727272727273,80.0909090909091,121.36363636363636
1515,53.0,191.55555555555554,223.33333333333334
1516,37.333333333333336,235.66666666666666,255.0
1517,20.0,219.75,45.375
1518,15.833333333333334,192.83333333333334,50.5
1519,51.0,208.5,113.5
1520,9.0,109.16666666666667,92.0
1521,11.2,96.2,144.9
1522,42.714285714285715,232.28571428571428,253.71428571428572
1523,6.6,80.4,131.6
1524,6.75,81.25,132.75
1525,18.714285714285715,42.42857142857143,61.0
1554,12.0,80.0,111.33333333333333
1555,61.0,224.66666666666666,254.33333333333334
1556,60.8,224.6,253.0
1557,8.166666666666666,138.16666666666666,80.5
1558,35.5,150.0,97.0
